winner_name,wins,aces,double_faults,service_points,1st_serves_made,1st_serve_points_won,2nd_serve_points_won,service_games_won,break_points_saved,break_points_faced,height
Thiago Monteiro,23,7.0,1.5,74.86363636363636,50.86363636363637,38.68181818181818,14.0,12.590909090909092,2.227272727272727,3.5454545454545454,183.0
Thiago Seyboth Wild,4,6.25,4.75,114.0,65.25,44.5,27.25,17.25,6.0,9.25,185.0
Tim Van Rijthoven,11,15.0,3.7,90.8,57.9,47.9,19.6,15.2,3.0,4.0,188.0
Timofey Skatov,2,3.0,1.0,78.0,55.0,44.0,11.0,10.0,5.0,5.0,173.0
Titouan Droguet,1,10.0,6.0,153.0,91.0,59.0,35.0,23.0,6.0,11.0,
Tomas Barrios Vera,3,3.0,2.0,103.66666666666667,65.33333333333333,45.666666666666664,22.333333333333332,15.666666666666666,5.333333333333333,7.333333333333333,191.0
Tomas Machac,7,4.2,1.8,81.8,52.0,36.6,14.8,11.8,7.8,9.4,183.0
Tomas Martin Etcheverry,26,5.538461538461538,1.6538461538461537,80.6923076923077,53.53846153846154,39.19230769230769,15.076923076923077,12.961538461538462,4.461538461538462,6.153846153846154,196.0
Tommy Paul,74,5.746478873239437,2.3661971830985915,81.54929577464789,50.690140845070424,38.16901408450704,16.87323943661972,13.028169014084508,3.563380281690141,5.211267605633803,185.0
Tung Lin Wu,3,0.0,2.0,61.0,40.0,31.0,13.0,10.0,1.0,1.0,188.0
Ugo Humbert,27,7.0,2.64,80.16,50.24,37.04,16.24,12.8,3.64,5.32,188.0
Valentin Vacherot,1,,,,,,,,,,
Vasek Pospisil,5,13.5,2.0,76.0,44.25,37.75,16.0,12.25,1.75,2.25,193.0
Viacheslav Bielinskyi,1,,,,,,,,,,
Viktor Durasovic,1,,,,,,,,,,185.0
Vilius Gaubas,1,,,,,,,,,,
Vit Kopriva,2,2.5,0.5,52.0,33.0,23.5,12.0,8.5,3.0,4.0,178.0
Vladyslav Orlov,1,,,,,,,,,,
Yannick Hanfmann,26,5.384615384615385,1.5,74.26923076923077,49.57692307692308,36.57692307692308,13.884615384615385,12.076923076923077,3.576923076923077,4.961538461538462,193.0
Yibing Wu,15,5.533333333333333,2.533333333333333,94.0,58.4,42.266666666666666,20.733333333333334,14.866666666666667,3.1333333333333333,5.0,183.0
Yoshihito Nishioka,32,2.25,1.75,84.65625,57.125,38.3125,16.1875,13.15625,3.6875,6.0,170.0
Yosuke Watanuki,10,10.4,3.7,80.8,47.2,37.0,17.5,12.4,3.5,4.8,180.0
Yshai Oliel,1,,,,,,,,,,188.0
Yu Hsiou Hsu,1,7.0,1.0,112.0,75.0,60.0,22.0,19.0,6.0,7.0,
Yuki Bhambri,2,3.0,4.0,100.0,57.5,41.0,21.5,13.0,10.0,12.0,183.0
Yuttana Charoenphon,2,,,,,,,,,,
Zachary Svajda,1,10.0,0.0,117.0,71.0,48.0,27.0,17.0,11.0,15.0,175.0
Zdenek Kolar,1,4.0,8.0,147.0,95.0,68.0,21.0,21.0,5.0,9.0,185.0
Zhizhen Zhang,20,6.555555555555555,2.2222222222222223,90.0,57.72222222222222,42.27777777777778,18.11111111111111,14.055555555555555,3.7777777777777777,5.944444444444445,193.0
Zizou Bergs,4,7.666666666666667,2.0,78.0,53.333333333333336,41.0,14.0,12.666666666666666,2.3333333333333335,3.3333333333333335,185.0
Zsombor Piros,3,2.0,0.0,61.0,39.0,30.0,15.0,10.0,4.0,4.0,180.0
Zura Tkemaladze,1,,,,,,,,,,188.0
